Measurement,Counts
010010001,18
000010001,22
001001001,24
011010001,15
001001010,18
011000000,14
011001010,24
001000000,18
010010000,25
000001010,27
000010000,27
000011011,18
010001001,8
011010000,11
011000001,23
010001010,14
001001000,15
001011001,17
010000001,21
000011010,10
001010001,14
001010011,14
001001011,17
011000011,15
011010010,19
001011011,12
000010011,15
011011001,11
011001000,11
001000011,13
011001011,20
010001000,21
000000010,13
000011001,16
010001011,14
000000011,21
010011011,16
010011010,14
000000000,22
011011011,11
001000010,12
001011010,20
010000000,13
001011000,17
000011000,11
010011000,10
010011001,16
000001000,17
011000010,16
011010011,15
000010010,12
010000010,16
011001001,14
011011000,17
001010000,9
010000011,19
010010010,18
001000001,19
011011010,18
001010010,13
010010011,12
000001011,14
000001001,6
000000001,12
